phase,ctx_len,layer_idx,layer_type,p50_us,p95_us,mean_us,n_samples
decode,128,22,linear_attention,44686.3,254605.9,105632.1,9
prefill,32,22,linear_attention,122789.4,123618.6,119706.6,3
prefill,64,22,linear_attention,163419.3,167257.9,158938.3,3
prefill,128,22,linear_attention,233091.6,266408.5,239226.5,3
decode,32,23,full_attention,32692.7,89838.1,49977.9,9
decode,64,23,full_attention,34783.5,107983.0,57517.1,9
decode,128,23,full_attention,33939.4,157999.3,72938.1,9
prefill,32,23,full_attention,67745.4,74594.8,69599.4,3
prefill,64,23,full_attention,103472.6,110675.3,104219.5,3
prefill,128,23,full_attention,142673.7,156540.0,144980.2,3
